deviceId;deviceName;Dictionary;Load;Count;Sort;Seed;Config;Reshape;Build;RandomCount;RandomMatch;RandomSort;RandomSortedMatch;HitRate;TreeMemory;TreeLevels;Depth;TreeMemoryUniqueOnly;ChildrenMemory;ChildrenCountsMemory;ScanMemory;PreScanMemory;PermuationMemory;LengthsMemory;MasksPartsMemory;ContainerSumMemory;ContainerItemsMemory;ContainerStartsMemory;ContainerLengthsMemory;AverageNodeSizesLevels;AverageNodeSize;TreeHeight;NodeSizeToHeightRatio;ItemsPerLevel;MaxItemsPerLevel;Find;Match;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{12, 14, 6};1.65789;16.1804;100000;19.2983;2.94291;19.3356;0.000672623;20129880;{1,166,442,};3;13207728;10895376;12;12;12;2307384;2307384;2307384;2312316;2307384;2472;2460;430, 3469.72, 1, ;947.202;3;315.734;{430, 575974, 442, };575974;0;95.3982;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{2, 14, 16};1.74755;16.17;100000;9.69101;3.17498;9.49299;0.000672623;9499408;{1,4,945,};3;2577256;262176;12;12;12;2307384;2307384;2307384;2315044;2307384;3836;3824;0, 4174, 592.751, ;607.206;3;202.402;{0, 16696, 560150, };560150;0;10.7736;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{16, 9, 7};1.74256;15.8;100000;31.8306;2.93523;32.1615;0.000672623;11442856;{1,945,1017,};3;4520704;2197520;12;12;12;2307384;2307384;2307384;2323148;2307384;7888;7876;16696, 591.675, 1, ;293.859;3;97.9531;{16696, 559133, 1017, };559133;0;10.8547;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{13, 3, 16};1.68982;15.2913;100000;2.35162;2.75923;2.42093;0.000672623;9280384;{1,260,945,};3;2358232;41104;12;12;12;2307384;2307384;2307384;2317092;2307384;4860;4848;936, 60.6154, 592.751, ;478.313;3;159.438;{936, 15760, 560150, };560150;0;10.6796;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{15, 6, 11};1.73469;15.4289;100000;7.97949;2.8351;7.74691;0.000672623;9600808;{1,631,9187,};3;2678656;292624;12;12;12;2307384;2307384;2307384;2385996;2307384;39312;39300;3722, 216.288, 47.5287, ;58.7479;3;19.5826;{3722, 136478, 436646, };436646;0;1.14589;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{1, 16, 15};1.57427;15.653;100000;23.9598;2.89971;23.9787;0.000672623;9764528;{1,2,1320,};3;2842376;524312;12;12;12;2307384;2307384;2307384;2318028;2307384;5328;5316;0, 12053.5, 418.742, ;436.014;3;145.338;{0, 24107, 552739, };552739;0;6.02458;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{6, 13, 13};1.72448;16.0665;100000;30.1968;3.2121;29.9913;0.000672623;10302752;{1,32,3001,};3;3380600;1048848;12;12;12;2307384;2307384;2307384;2331716;2307384;12172;12160;0, 1946.34, 171.464, ;190.127;3;63.3757;{0, 62283, 514563, };514563;0;2.31549;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{11, 16, 5};1.62566;17.8177;100000;37.4477;2.8583;37.8574;0.000672623;37288616;{1,107,63,};3;30366464;28057616;12;12;12;2307384;2307384;2307384;2308812;2307384;720;708;165, 5388.95, 1, ;3373.37;3;1124.46;{165, 576618, 63, };576618;0;192.466;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{16, 1, 15};1.7784;15.1108;100000;31.72;3.11168;31.9958;0.000672623;9517480;{1,945,1320,};3;2595328;269720;12;12;12;2307384;2307384;2307384;2325572;2307384;9100;9088;16696, 7.84233, 418.742, ;254.566;3;84.8553;{16696, 7411, 552739, };552739;0;6.06349;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{15, 3, 14};2.28582;15.2556;100000;7.71974;2.93949;7.64422;0.000672623;9401416;{1,631,1931,};3;2479264;151280;12;12;12;2307384;2307384;2307384;2327948;2307384;10288;10276;3722, 52.2805, 279.718, ;225.067;3;75.0222;{3722, 32989, 540135, };540135;0;3.57562;
